Date,Division,CO,NO2,OZONE,PM10,PM2.5,SO2
2019-01-01,1,,,32.5,,9.9,
2019-01-02,1,,,37.5,,6.7,
2019-01-03,1,,,40.0,,4.3,
2019-01-04,1,,,40.0,,4.6,
2019-01-05,1,,,42.5,,4.9,
2019-01-06,1,,,42.5,,2.4,
2019-01-07,1,,,43.0,,1.0,
2019-01-08,1,,,32.5,,4.2,
2019-01-09,1,,,29.5,,7.0,
2019-01-10,1,,,30.5,,6.1,
2019-01-11,1,,,30.5,,,
2019-01-12,1,,,35.0,,3.5,
2019-01-13,1,,,35.0,,5.9,
2019-01-14,1,,,42.5,,5.2,
2019-01-15,1,,,40.5,,4.0,
2019-01-16,1,,,41.0,,2.7,
2019-01-17,1,,,40.5,,2.4,
2019-01-18,1,,,35.5,,2.4,
2019-01-19,1,,,30.0,,4.8,
2019-01-20,1,,,38.5,,4.0,
2019-01-21,1,,,42.0,,1.9,
2019-01-22,1,,,37.5,,2.6,
2019-01-23,1,,,36.5,,3.7,
2019-01-24,1,,,31.5,,4.5,
2019-01-25,1,,,36.5,,5.6,
2019-01-26,1,,,44.0,,4.1,
2019-01-27,1,,,38.5,,2.3,
2019-01-28,1,,,38.0,,2.4,
2019-01-29,1,,,38.5,,6.8,
2019-01-30,1,,,43.0,,7.0,
2019-01-31,1,,,42.0,,5.4,
2019-02-01,1,,,38.0,,5.0,
2019-02-02,1,,,26.5,,4.5,
2019-02-03,1,,,29.0,,2.7,
2019-02-04,1,,,39.0,,2.2,
2019-02-05,1,,,47.5,,5.1,
2019-02-06,1,,,23.0,,3.5,
2019-02-07,1,,,26.0,,8.9,
2019-02-08,1,,,38.5,,9.5,
2019-02-09,1,,,42.0,,6.0,
2019-02-10,1,,,41.0,,9.0,
2019-02-11,1,,,47.0,,7.4,
2019-02-12,1,,,44.0,,4.5,
2019-02-13,1,,,44.0,,2.7,
2019-02-14,1,,,42.5,,2.4,
2019-02-15,1,,,51.0,,7.8,
2019-02-16,1,,,44.5,,4.8,
2019-02-17,1,,,44.0,,2.6,
2019-02-18,1,,,31.5,,9.9,
2019-02-19,1,,,29.5,,15.3,
2019-02-20,1,,,41.5,,10.5,
2019-02-21,1,,,38.0,,6.4,
2019-02-22,1,,,33.5,,13.0,
2019-02-23,1,,,47.5,,4.7,
2019-02-24,1,,,44.0,,3.2,
2019-02-25,1,,,38.5,,4.9,
2019-02-26,1,,,42.5,,9.0,
2019-02-27,1,,,22.0,,10.9,
2019-02-28,1,,,40.0,,,
2019-03-01,1,,,39.0,,4.5,
2019-03-02,1,,,36.5,,7.9,
2019-03-03,1,,,42.0,,8.3,
2019-03-04,1,,,40.0,,17.5,
2019-03-05,1,,,44.5,,9.8,
2019-03-06,1,,,32.5,,14.2,
2019-03-07,1,,,43.5,,26.5,
2019-03-08,1,,,49.5,,4.6,
2019-03-09,1,,,48.0,,1.0,
2019-03-10,1,,,42.5,,3.3,
2019-03-11,1,,,42.5,,6.8,
2019-03-12,1,,,31.0,,6.2,
2019-03-13,1,,,51.0,,4.2,
2019-03-14,1,,,51.0,,1.8,
2019-03-15,1,,,42.5,,6.3,
2019-03-16,1,,,49.0,,3.5,
2019-03-17,1,,,49.5,,4.5,
2019-03-18,1,,,40.0,,6.5,
2019-03-19,1,,,50.5,,6.7,
2019-03-20,1,,,51.5,,3.8,
2019-03-21,1,,,45.0,,3.9,
2019-03-22,1,,,42.5,,4.6,
2019-03-23,1,,,44.5,,7.2,
2019-03-24,1,,,48.0,,5.4,
2019-03-25,1,,,50.5,,7.1,
2019-03-26,1,,,49.0,,10.7,
2019-03-27,1,,,52.0,,4.9,
2019-03-28,1,,,52.0,,4.6,
2019-03-29,1,,,30.0,,3.8,
2019-03-30,1,,,44.0,,3.5,
2019-03-31,1,,,39.0,,4.5,
2019-04-01,1,,,50.0,,6.4,
2019-04-02,1,,,41.5,,4.0,
2019-04-03,1,,,51.0,,8.4,
2019-04-04,1,,,52.0,,4.0,
2019-04-05,1,,,54.5,,5.1,
2019-04-06,1,,,49.0,,3.3,
2019-04-07,1,,,56.5,,1.7,
2019-04-08,1,,,46.5,,2.6,
2019-04-09,1,,,49.0,,4.0,
2019-04-10,1,,,35.5,,2.5,
2019-04-11,1,,,47.5,,2.9,
2019-04-12,1,,,38.5,,5.9,
2019-04-13,1,,,36.5,,5.8,
2019-04-14,1,,,49.0,,5.2,
2019-04-15,1,,,55.5,,2.6,
2019-04-16,1,,,54.0,,3.1,
2019-04-17,1,,,45.0,,3.3,
2019-04-18,1,,,46.5,,3.2,
2019-04-19,1,,,47.5,,2.8,
2019-04-20,1,,,52.5,,2.1,
2019-04-21,1,,,49.5,,1.7,
2019-04-22,1,,,29.0,,1.9,
2019-04-23,1,,,43.0,,3.0,
2019-04-24,1,,,46.5,,2.8,
2019-04-25,1,,,52.0,,3.5,
2019-04-26,1,,,44.0,,3.1,
2019-04-27,1,,,43.5,,2.3,
2019-04-28,1,,,50.5,,2.6,
2019-04-29,1,,,36.5,,2.7,
2019-04-30,1,,,21.0,,5.9,
2019-05-01,1,,,27.5,,4.3,
2019-05-02,1,,,33.5,,3.1,
2019-05-03,1,,,58.5,,4.3,
2019-05-04,1,,,57.0,,4.9,
2019-05-05,1,,,55.0,,3.9,
2019-05-06,1,,,52.5,,4.2,
2019-05-07,1,,,33.0,,3.8,
2019-05-08,1,,,32.5,,,
2019-05-09,1,,,36.0,,1.8,
2019-05-10,1,,,30.0,,5.5,
